Player Number,Player Name
1.,J. Gray
1.,R. Papenhuyzen
2.,F. Myers
2.,W. Warbrick
3.,T. Milne
3.,J. Howarth
4.,R. Kennar
4.,N. Meaney
5.,J. Gagai
5.,G. Anderson
6.,J. Wighton
6.,C. Munster
7.,C. Walker
7.,J. Hughes
8.,D. Moale
8.,T. Kamikamica
9.,D. Cook
9.,H. Grant
10.,S. Keppie
10.,J. King
11.,C. Murray
11.,S. Blore
12.,M. Chee Kam
12.,T. Loiero
13.,K. Koloamatangi
13.,N. Asofa-Solomona
14.,P. Mamouzelos
14.,T. Wishart
15.,T. Duncan
15.,L. Vaalepu
16.,T. Burgess
16.,C. Lewis
17.,S. Mitchell
17.,A. MacDonald
1.,K. Kini
1.,W. Kennedy
2.,A. Khan-Pereira
2.,S. Katoa
3.,P. Sami
3.,J. Ramien
4.,A. Brimson
4.,K. Iro
5.,J. Fifita
5.,S. Stonestreet
6.,J. Campbell
6.,D. Atkinson
7.,K. Foran
7.,B. Brailey
8.,M. Fotuaika
8.,O. Kaufusi
9.,S. Verrills
9.,C. McInnes
10.,J. Jolliffe
10.,T. Rudolf
11.,D. Fifita
11.,B. Nikora
12.,K. Haas
12.,S. Talakai
13.,C. Randall
13.,J. Williams
14.,E. Clark
14.,R. Hunt
15.,I. Liu
15.,J. Berrell
16.,J. Pahulu
16.,T. Hazelton
17.,T. Francis
17.,B. Burns
1.,C. Gutherson
1.,D. Laurie
2.,J. Tago
2.,S. Turuva
3.,W. Penisini
3.,I. Tago
4.,B. Talagi
4.,C. McLean
5.,S. Russell
5.,B. To'o
6.,D. Brown
6.,J. Luai
7.,D. Asi
7.,N. Cleary
8.,R. Campbell-Gillard
8.,M. Leota
9.,B. Hands
9.,M. Kenny
10.,W. Greig
10.,M. Eisenhuth
11.,S. Lane
11.,S. Sorensen
12.,B. Cartwright
12.,L. Martin
13.,R. Matterson
13.,I. Yeo
14.,J. Lussick
14.,L. Smith
15.,J. Ofahengaue
15.,T. Toelau
16.,M. Doorey
16.,M. Geyer
17.,D. Keir
17.,L. Patea
1.,K. Weekes
1.,T. Trbojevic
2.,J. Rapana
2.,J. Saab
3.,M. Timoko
3.,T. Talau
4.,S. Kris
4.,R. Garrick
5.,X. Savage
5.,L. Hopoate
6.,E. Strange
6.,L. Brooks
7.,J. Fogarty
7.,D. Cherry-Evans
8.,J. Papalii
8.,T. Paseka
9.,T. Starling
9.,L. Croker
10.,J. Tapine
10.,N. Brown
11.,H. Young
11.,H. Olakau'atu
12.,E. Whitehead
12.,K. Lawton
13.,M. Smithies
13.,J. Trbojevic
14.,A. Cook
14.,G. Chan Kum Tong
15.,T. Mooney
15.,B. Trbojevic
16.,A. Mariota
16.,E. Bullemor
17.,S. Sasagi
17.,T. Sipley
1.,S. Drinkwater
1.,R. Walsh
2.,K. Feldt
2.,J. Karapani
3.,V. Holmes
3.,K. Staggs
4.,V. Vailea
4.,D. Mariner
5.,M. Taulagi
5.,J. Arthars
6.,T. Dearden
6.,J. Rogers
7.,C. Townsend
7.,A. Reynolds
8.,J. McLean
8.,C. Jensen
9.,R. Robson
9.,B. Walters
10.,S. McIntyre
10.,X. Willison
11.,H. Luki
11.,B. Piakura
12.,J. Nanai
12.,J. Riki
13.,R. Cotter
13.,P. Carrigan
14.,H. Edwards
14.,B. Mozer
15.,K. Finefeuiaki
15.,K. Hetherington
16.,G. Neame
16.,T. Sailor
17.,J. Purdue
17.,M. Taupau
1.,T. Sloan
1.,C. Tracey
2.,Z. Lomax
2.,J. Kiraz
3.,M. Suli
3.,B. Xerri
4.,M. Feagai
4.,S. Crichton
5.,C. Tuipulotu
5.,J. Addo-Carr
6.,K. Flanagan
6.,M. Burton
7.,B. Hunt
7.,T. Sexton
8.,H. Sele
8.,J. Curran
9.,J. Liddle
9.,R. Mahoney
10.,B. Lawrie
10.,S. Hughes
11.,L. Leilua
11.,V. Kikau
12.,J. Su'A
12.,J. Preston
13.,T. Eisenhuth
13.,K. Mann
14.,F. Molo
14.,B. Hayward
15.,J. De Belin
15.,L. Hopoi
16.,R. Faitala-Mariner
16.,K. Morrin
17.,R. Couchman
17.,H. Hayes
1.,H. Tabuai-Fidow
1.,C. Nicoll-Klokstad
2.,J. Isaako
2.,D. Watene-Zelezniak
3.,J. Averillo
3.,A. Leiataua
4.,H. Farnworth
4.,R. Tuivasa-Sheck
5.,J. Bostock
5.,E. Kosi
6.,K. Nikorima
6.,C. Harris-Tavita
7.,I. Katoa
7.,T. Maire Martin
8.,J. Bromwich
8.,A. Fonua-Blake
9.,M. Plath
9.,W. Egan
10.,T. Pangai Junior
10.,M. Barnett
11.,F. Kaufusi
11.,M. Niukore
12.,C. Lemuelu
12.,K. Capewell
13.,K. Bromwich
13.,D. Walker
14.,O. Keeley
14.,F. Lussick
15.,M. Nicholls
15.,T. Ale
16.,R. Stone
16.,J. Tevaga
17.,S. O'Sullivan
17.,D. Sifakula
1.,K. Ponga
1.,J. Bula
2.,F. Sharpe
2.,S. Alaimalo
3.,D. Gagai
3.,S. Faataape
4.,K. Mapapalangi
4.,A. Doueihi
5.,G. Marzhew
5.,C. Staines
6.,T. Gamble
6.,L. Galvin
7.,P. Crossland
7.,A. Sezer
8.,D. Saifiti
8.,S. Utoikamanu
9.,J. Brailey
9.,A. Koroisau
10.,L. Thompson
10.,D. Klemmer
11.,T. Frizell
11.,R. Porter
12.,K. Pearce-Paul
12.,S. Fainu
13.,A. Elliott
13.,I. Papali'i
14.,J. Cogger
14.,T. Da Silva
15.,M. Croker
15.,A. Seyfarth
16.,J. Hetherington
16.,F. Pole
17.,B. Jones
17.,A. Twal
